Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver
2024-05-25 14:58:18.377,0 days 01:11:13.694000,,738.8444444444444,0 days 00:00:00,11116.457073371428,276.4857124571429,7,99.0,False,12,interpolation,0.02696182395200267,8.246851688907893e-06,OnTrack,-7664.598412265317,-6565.2756054480105,502.3597723476744,LEC
2024-05-25 14:58:18.576,0 days 01:11:13.893000,,738.8444444444444,0 days 00:00:00.199000,11224.485679542857,279.32857051428573,7,99.0,False,12,pos,15.501403736421958,0.0047414365516122,OnTrack,-7674.0,-6411.0,503.0,LEC
2024-05-25 14:58:18.623,0 days 01:11:13.940000,,738.8444444444444,0 days 00:00:00.246000,11250.0,280.0,7,99.0,False,12,car,19.17111111111111,0.005863895199611275,OnTrack,-7676.424791583543,-6374.1508124282045,503.03211786098615,LEC
2024-05-25 14:58:18.735,0 days 01:11:14.052000,,738.8444444444444,0 days 00:00:00.358000,11299.155555555555,280.93333333333334,7,99.0,False,12,pos,27.938938709094007,0.008545723178430565,OnTrack,-7681.0,-6286.0,503.0,LEC
2024-05-25 14:58:18.983,0 days 01:11:14.300000,10,738.8444444444444,0 days 00:00:00.606000,11408.0,283.0,7,99.0,False,12,car,47.471111111111114,0.014520056711961988,OnTrack,-7674.554790488317,-6091.423433388945,503.0012553826439,LEC
2024-05-25 14:58:18.995,0 days 01:11:14.312000,10,738.3477777777778,0 days 00:00:00.618000,11411.6,283.12857142857143,7,99.0,False,12,pos,48.42045791756717,0.014810434778672868,OnTrack,-7674.0,-6082.0,503.0,LEC
2024-05-25 14:58:19.136,0 days 01:11:14.453000,10,732.5119470933332,0 days 00:00:00.759000,11453.8999808,284.6392850285714,7,99.0,False,12,pos,59.60463847192388,0.01823135609534438,OnTrack,-7667.0,-5971.0,503.0,LEC
2024-05-25 14:58:19.263,0 days 01:11:14.580000,10,727.2555555555554,0 days 00:00:00.886000,11492.0,286.0,7,99.0,False,10,car,69.71555555555557,0.021323996777814415,OnTrack,-7660.138521551654,-5870.196101598827,503.09685723362156,LEC
2024-05-25 14:58:19.296,0 days 01:11:14.613000,10,725.8988915199998,0 days 00:00:00.919000,11495.064279771428,286.0,7,99.0,False,10,pos,72.34747119560997,0.02212902458230886,OnTrack,-7658.0,-5844.0,503.0,LEC
2024-05-25 14:58:19.516,0 days 01:11:14.833000,10,716.8544470755554,0 days 00:00:01.139000,11515.4928512,286.0,7,99.0,False,10,pos,89.84631852385384,0.027481422064755706,OnTrack,-7639.0,-5670.0,503.0,LEC
